r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Alessio Sakara,James Irvin,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,,1.0,False,Middleweight,3.0,0.0,-120.0,28.0,Orthodox,100.0,31.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,-5.08,-7.62,-3.0
Brandon Vera,Jon Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,Elbow,1.0,False,Light Heavyweight,3.0,0.0,215.0,32.0,Orthodox,-235.0,22.0,Orthodox,False,False,False,False,False,False,False,False,31-35,21-25,-2.54,-20.32,10.0
Brendan Schaub,Chase Gormley,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,Punches,1.0,False,Heavyweight,3.0,0.0,-260.0,27.0,Orthodox,220.0,27.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,2.54,2.12,0.0
Cheick Kongo,Paul Buentello,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,Elbows,3.0,False,Heavyweight,3.0,0.0,-345.0,34.0,Orthodox,315.0,36.0,Orthodox,False,False,False,False,False,False,False,False,31-35,36-40,5.08,12.7,-2.0
Clay Guida,Shannon Gugerty,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,SUB,Arm Triangle,2.0,False,Lightweight,3.0,0.0,-420.0,28.0,Orthodox,335.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-7.62,-2.54,0.0
Duane Ludwig,Darren Elkins,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,,1.0,False,Lightweight,3.0,0.0,-155.0,31.0,Orthodox,135.0,25.0,Orthodox,False,False,False,False,False,False,False,True,31-35,21-25,0.0,-2.54,6.0
Eliot Marshall,Vladimir Matyushenko,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,S-DEC,,3.0,False,Light Heavyweight,3.0,0.0,145.0,29.0,Orthodox,-165.0,39.0,Orthodox,False,False,False,False,False,False,True,False,26-30,36-40,5.08,7.62,-10.0
Eric Schafer,Jason Brilz,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,U-DEC,,3.0,False,Light Heavyweight,3.0,0.0,140.0,32.0,Orthodox,-160.0,34.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,10.16,10.16,-2.0
John Howard,Daniel Roberts,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,Punch,1.0,False,Welterweight,3.0,0.0,-210.0,27.0,Orthodox,175.0,29.0,Southpaw,False,False,False,False,False,False,True,True,26-30,26-30,-7.62,-7.62,-2.0
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,KO/TKO,Punches,1.0,False,Heavyweight,3.0,0.0,-250.0,26.0,Orthodox,230.0,30.0,Orthodox,False,False,False,False,False,False,True,False,26-30,26-30,5.08,2.54,-4.0
Mike Pierce,Julio Paulino,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,-420.0,29.0,Orthodox,335.0,34.0,Orthodox,False,False,False,False,False,False,False,True,26-30,31-35,-10.16,-7.62,-5.0
Ben Saunders,Jon Fitch,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,295.0,26.0,Orthodox,-325.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,2.54,-6.0
Frank Mir,Shane Carwin,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,KO/TKO,Punches,1.0,True,Heavyweight,5.0,0.0,-150.0,30.0,Southpaw,140.0,35.0,Orthodox,False,False,False,False,False,False,False,True,26-30,31-35,2.54,-2.54,-5.0
Georges St-Pierre,Dan Hardy,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,U-DEC,,5.0,True,Welterweight,5.0,0.0,-650.0,28.0,Orthodox,550.0,27.0,Orthodox,False,False,False,False,False,False,False,True,26-30,26-30,-2.54,5.08,1.0
Jim Miller,Mark Bocek,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-320.0,26.0,Southpaw,290.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,0.0,-10.16,-2.0
Kurt Pellegrino,Fabricio Camoes,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,SUB,Rear Naked Choke,2.0,False,Lightweight,3.0,0.0,-210.0,30.0,Orthodox,190.0,31.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,-5.08,-7.62,-1.0
Matthew Riddle,Greg Soto,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,DQ,,3.0,False,Welterweight,3.0,0.0,-230.0,24.0,Southpaw,190.0,23.0,Orthodox,False,False,False,False,False,False,False,True,21-25,21-25,5.08,2.54,1.0
Nate Diaz,Rory Markham,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,KO/TKO,Punches,1.0,False,Welterweight,3.0,0.0,-235.0,24.0,Southpaw,195.0,28.0,Orthodox,False,False,False,False,False,False,False,False,21-25,26-30,0.0,12.7,-4.0
Ricardo Almeida,Matt Brown,2010-03-27,3,2010,MALE,Newark,New Jersey,USA,SUB,Rear Naked Choke,2.0,False,Welterweight,3.0,0.0,-185.0,33.0,Orthodox,160.0,29.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,-2.54,4.0
