r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Alessio Sakara,James Irvin,2010-03-21,Josh Rosenthal,Red,5-5-0,5,0,5,0,0,1,1,1,3,0,0,4-4-0,4,0,4,0,0,0,0,0,3,0,0,0.25,50.17,16.48,0.1,0.05,0.0,19.75,0.29,6.38,2.24,0.12,0.0,0.06,1.95
Brandon Vera,Jon Jones,2010-03-21,Herb Dean,Blue,7-4-0,4,0,7,0,0,2,2,0,4,1,0,3-1-0,1,0,3,0,0,2,2,0,0,1,0,0.82,77.16,37.98,1.45,0.88,0.0,130.99,0.12,86.25,39.12,2.38,1.62,0.25,113.62
Brendan Schaub,Chase Gormley,2010-03-21,Adam Martinez,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,1.0,1.0,89.0
Cheick Kongo,Paul Buentello,2010-03-21,Herb Dean,Red,7-4-0,4,0,7,1,1,1,1,0,4,0,1,3-2-0,2,0,3,0,0,0,0,0,2,1,0,0.09,27.13,16.24,1.36,0.71,0.01,85.71,0.62,68.44,33.5,0.5,0.25,0.31,88.44
Clay Guida,Shannon Gugerty,2010-03-21,Herb Dean,Red,5-5-0,5,0,5,0,0,1,1,2,1,1,0,2-2-0,2,0,2,0,0,0,0,0,0,2,0,0.03,81.62,24.24,6.05,1.78,0.15,253.28,0.0,29.75,9.62,3.0,1.12,0.88,114.88
Duane Ludwig,Darren Elkins,2010-03-21,Tim Mills,Blue,2-1-0,1,0,2,0,0,1,1,0,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.25,28.0,10.75,0.0,0.0,0.0,72.5,,,,,,,
Eliot Marshall,Vladimir Matyushenko,2010-03-21,Adam Martinez,Blue,3-0-0,0,0,3,0,0,1,1,1,0,1,0,4-2-0,2,0,4,0,0,3,3,0,1,0,0,0.0,103.25,27.5,0.25,0.25,0.5,28.25,0.0,66.41,28.88,6.84,2.88,0.5,297.12
Eric Schafer,Jason Brilz,2010-03-21,Tom Johnson,Blue,3-3-0,3,0,3,0,0,0,0,0,1,2,0,2-1-0,1,0,2,0,0,1,1,0,1,0,0,0.0,71.81,22.12,1.28,0.28,0.94,87.19,0.0,88.75,30.5,10.25,1.25,0.5,341.25
John Howard,Daniel Roberts,2010-03-21,Tom Johnson,Red,3-0-0,0,0,3,0,0,0,0,2,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.5,30.5,17.0,5.0,4.0,0.75,324.0,,,,,,,
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,Josh Rosenthal,Red,4-0-0,0,0,4,0,0,0,0,0,4,0,0,7-3-0,3,0,7,0,0,0,0,0,5,2,0,0.88,59.38,26.88,0.0,0.0,0.0,16.62,0.64,20.32,15.13,0.49,0.43,0.09,77.82
Mike Pierce,Julio Paulino,2010-03-21,Tim Mills,Red,1-1-0,1,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,40.5,6.5,3.5,0.0,448.0,,,,,,,
Ben Saunders,Jon Fitch,2010-03-27,Dan Miragliotta,Blue,4-1-0,1,0,4,0,0,1,1,0,2,1,0,11-1-0,1,0,11,0,0,6,6,1,1,3,0,0.19,38.81,24.19,1.31,0.06,0.38,79.81,0.0,110.7,40.58,7.63,3.7,0.52,425.22
Frank Mir,Shane Carwin,2010-03-27,Dan Miragliotta,Blue,11-4-0,4,0,11,0,0,1,1,0,2,7,0,3-0-0,0,0,3,0,0,0,0,0,3,0,0,0.88,19.35,7.37,0.23,0.19,0.73,14.37,0.75,14.25,6.5,0.5,0.25,0.0,16.5
Georges St-Pierre,Dan Hardy,2010-03-27,Kevin Mulhall,Red,13-2-0,2,0,13,0,0,5,5,1,5,2,0,4-0-0,0,0,4,0,0,1,1,2,1,0,0,0.88,129.29,73.4,9.34,7.27,0.8,759.5,0.38,96.0,42.25,2.25,0.75,0.0,246.5
Jim Miller,Mark Bocek,2010-03-27,Yves Lavigne,Red,5-1-0,1,0,5,0,0,2,2,0,1,2,0,4-2-0,2,0,4,0,0,1,1,0,0,3,0,0.75,56.03,19.06,2.0,1.03,1.16,165.97,0.0,32.06,13.0,2.88,1.78,1.5,252.12
Kurt Pellegrino,Fabricio Camoes,2010-03-27,Yves Lavigne,Red,6-3-0,3,0,6,0,0,2,2,0,1,3,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.25,56.04,24.66,4.38,2.17,0.4,472.67,0.0,71.0,22.0,5.0,5.0,2.0,146.0
