r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,r_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Alessio Sakara,James Irvin,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,,1,False,Middleweight,3,False,-5.08,-3,-7.62,-120,28,26-30,Orthodox,100,31,26-30,Orthodox,0.25,50.17,16.48,0.1,0.05,0.0,19.75,0.29,6.38,2.24,0.12,0.0,0.06,1.95,False,False,False,False,False,False,False,False
Brandon Vera,Jon Jones,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Blue,KO/TKO,Elbow,1,False,Light Heavyweight,3,False,-2.54,10,-20.32,215,32,31-35,Orthodox,-235,22,31-35,Orthodox,0.82,77.16,37.98,1.45,0.88,0.0,130.99,0.12,86.25,39.12,2.38,1.62,0.25,113.62,False,False,False,False,False,False,False,False
Brendan Schaub,Chase Gormley,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,2.54,0,2.12,-260,27,26-30,Orthodox,220,27,26-30,Orthodox,0.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,1.0,1.0,89.0,False,False,False,False,False,False,False,False
Cheick Kongo,Paul Buentello,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,KO/TKO,Elbows,3,False,Heavyweight,3,False,5.08,-2,12.7,-345,34,31-35,Orthodox,315,36,31-35,Orthodox,0.09,27.13,16.24,1.36,0.71,0.01,85.71,0.62,68.44,33.5,0.5,0.25,0.31,88.44,False,False,False,False,False,False,False,False
Clay Guida,Shannon Gugerty,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Herb Dean,Red,SUB,Arm Triangle,2,False,Lightweight,3,False,-7.62,0,-2.54,-420,28,26-30,Orthodox,335,28,26-30,Orthodox,0.03,81.62,24.24,6.05,1.78,0.15,253.28,0.0,29.75,9.62,3.0,1.12,0.88,114.88,False,False,False,False,False,False,False,False
Duane Ludwig,Darren Elkins,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tim Mills,Blue,KO/TKO,,1,False,Lightweight,3,False,0.0,6,-2.54,-155,31,31-35,Orthodox,135,25,31-35,Orthodox,0.25,28.0,10.75,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Eliot Marshall,Vladimir Matyushenko,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Adam Martinez,Blue,S-DEC,,3,False,Light Heavyweight,3,False,5.08,-10,7.62,145,29,26-30,Orthodox,-165,39,26-30,Orthodox,0.0,103.25,27.5,0.25,0.25,0.5,28.25,0.0,66.41,28.88,6.84,2.88,0.5,297.12,True,False,False,False,False,False,False,False
Eric Schafer,Jason Brilz,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Blue,U-DEC,,3,False,Light Heavyweight,3,False,10.16,-2,10.16,140,32,31-35,Orthodox,-160,34,31-35,Orthodox,0.0,71.81,22.12,1.28,0.28,0.94,87.19,0.0,88.75,30.5,10.25,1.25,0.5,341.25,False,False,False,False,False,False,False,False
John Howard,Daniel Roberts,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Tom Johnson,Red,KO/TKO,Punch,1,False,Welterweight,3,False,-7.62,-2,-7.62,-210,27,26-30,Orthodox,175,29,26-30,Southpaw,0.5,30.5,17.0,5.0,4.0,0.75,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False
Junior Dos Santos,Gabriel Gonzaga,UFC Live: Vera vs Jones,2010-03-21,3,2010,MALE,Broomfield,Colorado,USA,Josh Rosenthal,Red,KO/TKO,Punches,1,False,Heavyweight,3,False,5.08,-4,2.54,-250,26,26-30,Orthodox,230,30,26-30,Orthodox,0.88,59.38,26.88,0.0,0.0,0.0,16.62,0.64,20.32,15.13,0.49,0.43,0.09,77.82,True,False,False,False,False,False,False,False
