date,month,year
2010-03-21,3,2010
2010-03-27,3,2010
2010-03-31,3,2010
2010-04-10,4,2010
2010-05-08,5,2010
2010-05-29,5,2010
2010-06-12,6,2010
2010-06-19,6,2010
2010-07-03,7,2010
2010-08-01,8,2010
2010-08-07,8,2010
2010-08-28,8,2010
2010-09-15,9,2010
2010-09-25,9,2010
2010-10-16,10,2010
2010-10-23,10,2010
2010-11-13,11,2010
2010-11-20,11,2010
2010-12-04,12,2010
2010-12-11,12,2010
2011-01-01,1,2011
2011-01-22,1,2011
2011-02-05,2,2011
2011-02-26,2,2011
2011-03-03,3,2011
2011-03-19,3,2011
2011-03-26,3,2011
2011-04-30,4,2011
2011-05-28,5,2011
2011-06-04,6,2011
2011-06-11,6,2011
2011-06-26,6,2011
2011-07-02,7,2011
2011-08-06,8,2011
2011-08-14,8,2011
2011-08-27,8,2011
2011-09-17,9,2011
2011-09-24,9,2011
2011-10-01,10,2011
2011-10-08,10,2011
2011-10-29,10,2011
2011-11-05,11,2011
2011-11-12,11,2011
2011-11-19,11,2011
2011-12-03,12,2011
2011-12-10,12,2011
2011-12-30,12,2011
2012-01-14,1,2012
2012-01-20,1,2012
2012-01-28,1,2012
2012-02-04,2,2012
2012-02-15,2,2012
2012-02-25,2,2012
2012-03-02,3,2012
2012-04-14,4,2012
2012-04-21,4,2012
2012-05-05,5,2012
2012-05-15,5,2012
2012-05-26,5,2012
2012-06-01,6,2012
2012-06-08,6,2012
2012-06-22,6,2012
2012-06-23,6,2012
2012-07-07,7,2012
2012-07-11,7,2012
2012-07-21,7,2012
2012-08-04,8,2012
2012-08-11,8,2012
2012-09-22,9,2012
2012-09-29,9,2012
2012-10-05,10,2012
2012-10-13,10,2012
2012-11-10,11,2012
2012-11-17,11,2012
2012-12-08,12,2012
2012-12-14,12,2012
2012-12-15,12,2012
2012-12-29,12,2012
2013-01-19,1,2013
2013-01-26,1,2013
2013-02-02,2,2013
2013-02-16,2,2013
2013-02-23,2,2013
2013-03-02,3,2013
2013-03-16,3,2013
2013-04-06,4,2013
2013-04-13,4,2013
2013-04-20,4,2013
2013-04-27,4,2013
2013-05-18,5,2013
2013-05-25,5,2013
2013-06-08,6,2013
2013-06-15,6,2013
2013-07-06,7,2013
2013-07-27,7,2013
2013-08-03,8,2013
2013-08-17,8,2013
2013-08-28,8,2013
2013-08-31,8,2013
2013-09-04,9,2013
2013-09-21,9,2013
2013-10-09,10,2013
2013-10-19,10,2013
2013-10-26,10,2013
2013-11-06,11,2013
2013-11-09,11,2013
2013-11-16,11,2013
2013-11-30,11,2013
2013-12-06,12,2013
2013-12-14,12,2013
2013-12-28,12,2013
2014-01-04,1,2014
2014-01-15,1,2014
2014-01-25,1,2014
2014-02-01,2,2014
2014-02-15,2,2014
2014-02-22,2,2014
2014-03-01,3,2014
2014-03-08,3,2014
2014-03-15,3,2014
2014-03-23,3,2014
2014-04-11,4,2014
2014-04-16,4,2014
