r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Alessio Sakara,MALE,Middleweight,28.0,Orthodox,182.88,182.88,185.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Brandon Vera,MALE,Light Heavyweight,32.0,Orthodox,190.5,193.04,230.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,2.0,0.0,,2.0,4.0,1.0,0.0,,
Brendan Schaub,MALE,Heavyweight,27.0,Orthodox,193.04,198.12,245.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cheick Kongo,MALE,Heavyweight,34.0,Orthodox,193.04,208.28,240.0,7.0-4.0-0.0,4.0,0.0,7.0,1.0,1.0,1.0,,1.0,4.0,0.0,1.0,,
Clay Guida,MALE,Lightweight,28.0,Orthodox,170.18,177.8,155.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Duane Ludwig,MALE,Lightweight,31.0,Orthodox,177.8,177.8,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Eliot Marshall,MALE,Light Heavyweight,29.0,Orthodox,187.96,195.58,205.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Eric Schafer,MALE,Light Heavyweight,32.0,Orthodox,190.5,190.5,185.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
John Howard,MALE,Welterweight,27.0,Orthodox,170.18,180.34,170.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Junior Dos Santos,MALE,Heavyweight,26.0,Orthodox,193.04,195.58,238.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,
Mike Pierce,MALE,Welterweight,29.0,Orthodox,172.72,177.8,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Ben Saunders,MALE,Welterweight,26.0,Orthodox,187.96,195.58,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,1.0,0.0,,
Frank Mir,MALE,Heavyweight,30.0,Southpaw,190.5,200.66,264.0,11.0-4.0-0.0,4.0,0.0,11.0,0.0,1.0,0.0,,1.0,2.0,7.0,0.0,,
Georges St-Pierre,MALE,Welterweight,28.0,Orthodox,180.34,193.04,185.0,13.0-2.0-0.0,2.0,0.0,13.0,0.0,5.0,0.0,,5.0,5.0,2.0,0.0,,
Jim Miller,MALE,Lightweight,26.0,Southpaw,172.72,180.34,155.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,,
Kurt Pellegrino,MALE,Lightweight,30.0,Orthodox,172.72,177.8,155.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,2.0,0.0,,2.0,1.0,3.0,0.0,,
Matthew Riddle,MALE,Welterweight,24.0,Southpaw,185.42,187.96,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Nate Diaz,MALE,Welterweight,24.0,Southpaw,182.88,193.04,170.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,,
Ricardo Almeida,MALE,Welterweight,33.0,Orthodox,182.88,187.96,170.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,
Rodney Wallace,MALE,Light Heavyweight,28.0,Switch,175.26,182.88,205.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rousimar Palhares,MALE,Middleweight,30.0,Orthodox,172.72,180.34,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Andre Winner,MALE,Lightweight,28.0,Orthodox,180.34,185.42,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Caol Uno,MALE,Lightweight,34.0,Southpaw,170.18,177.8,155.0,3.0-6.0-0.0,6.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Charlie Brenneman,MALE,Welterweight,29.0,Orthodox,177.8,182.88,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gerald Harris,MALE,Middleweight,30.0,Southpaw,180.34,195.58,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Jacob Volkmann,MALE,Lightweight,29.0,Southpaw,175.26,180.34,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kenny Florian,MALE,Lightweight,33.0,Southpaw,177.8,187.96,145.0,10.0-3.0-0.0,3.0,0.0,10.0,0.0,1.0,0.0,,1.0,2.0,6.0,1.0,,
Nate Quarry,MALE,Middleweight,38.0,Open Stance,182.88,182.88,185.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,2.0,0.0,,2.0,5.0,0.0,0.0,,
Rob Emerson,MALE,Lightweight,28.0,Orthodox,175.26,177.8,155.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Ross Pearson,MALE,Lightweight,25.0,Orthodox,172.72,175.26,155.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,,
Roy Nelson,MALE,Heavyweight,33.0,Orthodox,182.88,182.88,263.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Yushin Okami,MALE,Middleweight,28.0,Southpaw,187.96,190.5,170.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,4.0,0.0,,4.0,3.0,0.0,0.0,,
Alexander Gustafsson,MALE,Light Heavyweight,23.0,Orthodox,195.58,200.66,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Anderson Silva,MALE,Middleweight,34.0,Southpaw,187.96,195.58,185.0,10.0-0.0-0.0,0.0,0.0,10.0,0.0,1.0,0.0,,1.0,7.0,2.0,0.0,,
BJ Penn,MALE,Lightweight,31.0,Orthodox,175.26,177.8,155.0,11.0-5.0-0.0,5.0,0.0,11.0,0.0,1.0,0.0,,1.0,5.0,4.0,1.0,,
DaMarques Johnson,MALE,Welterweight,27.0,Orthodox,185.42,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
