date,event,referee,r_fighter,b_fighter,finish,totalfighttimesecs,finishround,heightdif,agedif,reachdif,r_odds,b_odds,r_avgkd,b_avgkd,r_avgsigstratt,b_avgsigstratt,r_avgsigstrlanded,b_avgsigstrlanded,r_avgtdatt,b_avgtdatt,r_avgtdlanded,b_avgtdlanded,r_avgsubatt,b_avgsubatt,r_avgctrltime,b_avgctrltime
2010-03-21,UFC Live: Vera vs Jones,Josh Rosenthal,Alessio Sakara,James Irvin,KO/TKO,181.0,1.0,5.08,-3.0,7.62,-120.0,100.0,0.25,0.29,50.17,6.38,20.8,5.25,0.1,0.12,1.0,0.0,0.0,0.12,19.75,1.95
2010-03-21,UFC Live: Vera vs Jones,Herb Dean,Brandon Vera,Jon Jones,KO/TKO,199.0,1.0,2.54,10.0,20.32,215.0,-235.0,0.82,0.12,77.16,86.25,30.73,39.0,1.45,2.38,0.55,2.5,0.09,0.25,130.99,113.62
2010-03-21,UFC Live: Vera vs Jones,Adam Martinez,Brendan Schaub,Chase Gormley,KO/TKO,47.0,1.0,-2.54,0.0,-2.12,-260.0,220.0,0.0,0.0,48.0,23.0,12.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,89.0
2010-03-21,UFC Live: Vera vs Jones,Herb Dean,Cheick Kongo,Paul Buentello,KO/TKO,676.0,3.0,-5.08,-2.0,-12.7,-345.0,315.0,0.09,0.62,27.13,68.44,32.91,25.8,1.36,0.5,1.18,0.2,0.27,0.4,85.71,88.44
2010-03-21,UFC Live: Vera vs Jones,Herb Dean,Clay Guida,Shannon Gugerty,SUB,520.0,2.0,7.62,0.0,2.54,-420.0,335.0,0.03,0.0,81.62,29.75,33.1,10.75,6.05,3.0,3.4,1.25,0.6,1.25,253.28,114.88
2010-03-21,UFC Live: Vera vs Jones,Tim Mills,Duane Ludwig,Darren Elkins,KO/TKO,44.0,1.0,0.0,6.0,2.54,-155.0,135.0,0.25,,28.0,,13.67,,0.0,,0.0,,0.0,,72.5,
2010-03-21,UFC Live: Vera vs Jones,Adam Martinez,Eliot Marshall,Vladimir Matyushenko,S-DEC,900.0,3.0,-5.08,-10.0,-7.62,145.0,-165.0,0.0,0.0,103.25,66.41,27.0,22.17,0.25,6.84,0.33,2.5,0.67,0.17,28.25,297.12
2010-03-21,UFC Live: Vera vs Jones,Tom Johnson,Eric Schafer,Jason Brilz,U-DEC,900.0,3.0,-10.16,-2.0,-10.16,140.0,-160.0,0.0,0.0,71.81,88.75,15.67,31.67,1.28,10.25,0.83,1.67,1.33,0.67,87.19,341.25
2010-03-21,UFC Live: Vera vs Jones,Tom Johnson,John Howard,Daniel Roberts,KO/TKO,121.0,1.0,7.62,-2.0,7.62,-210.0,175.0,0.5,,30.5,,18.0,,5.0,,4.67,,1.0,,324.0,
2010-03-21,UFC Live: Vera vs Jones,Josh Rosenthal,Junior Dos Santos,Gabriel Gonzaga,KO/TKO,233.0,1.0,-5.08,-4.0,-2.54,-250.0,230.0,0.88,0.64,59.38,20.32,25.75,13.7,0.0,0.49,0.0,1.2,0.0,0.7,16.62,77.82
