fighter,date,gender,age,stance,heightcms,reachcms,weightlbs,currentwinstreak,currentlosestreak,longestwinstreak,losses,draws,wins,winbydecisionmajority,winbydecisionsplit,winbydecisionunanimous,winsbydecisionmajority,winsbydecisionsplit,winsbydecisionunanimous,winsbyko,winsbysubmission,winsbytkodoctorstoppage,totaltimefought(seconds),totalroundsfought,totaltitlebouts,avgkd,avgoppkd,avgsigstratt,avgsigstrlanded,avgsigstrpct,avgoppsigstratt,avgoppsigstrlanded,avgoppsigstrpct,avgtdatt,avgtdlanded,avgtdpct,avgopptdatt,avgopptdlanded,avgopptdpct,avgsubatt,avgoppsubatt,avgrev,avgopprev,avgheadatt,avgheadlanded,avgoppheadatt,avgoppheadlanded,avgbodyatt,avgbodylanded,avgoppbodyatt,avgoppbodylanded,avglegatt,avgleglanded,avgopplegatt,avgoppleglanded,avgdistanceatt,avgdistancelanded,avgoppdistanceatt,avgoppdistancelanded,avgclinchatt,avgclinchlanded,avgoppclinchatt,avgoppclinchlanded,avggroundatt,avggroundlanded,avgoppgroundatt,avgoppgroundlanded,avgctrltime(seconds),avgoppctrltime(seconds),matchwcrank,bantamweightrank,featherweightrank,flyweightrank,heavyweightrank,lightheavyweightrank,lightweightrank,middleweightrank,pfprank,wbantamweightrank,wfeatherweightrank,wflyweightrank,wstrawweightrank,welterweightrank,winsbydecision,winsbystoppage
Aalon Cruz,2020-02-29,MALE,30.0,Switch,182.88,198.12,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,9.04,0.4,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Aalon Cruz,2021-03-06,MALE,31.0,Switch,182.88,198.12,145.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,4.0,0.0,0.0,0.0,12.0,7.58,0.39,29.0,20.0,0.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,27.0,19.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,12.0,2.0,6.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,18.0,14.0,5.0,7.0,,,,,,,,,,,,,,,0.0,1.0
Aaron Phillips,2014-05-24,MALE,24.0,Southpaw,175.26,177.8,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Aaron Phillips,2014-08-23,MALE,25.0,Southpaw,175.26,177.8,135.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,3.0,0.0,0.0,0.0,40.0,18.0,0.45,68.0,37.0,0.54,0.0,0.0,0.0,8.0,5.0,0.62,1.0,1.0,1.0,1.0,23.0,5.0,53.0,28.0,14.0,12.0,13.0,8.0,3.0,1.0,2.0,1.0,26.0,9.0,31.0,12.0,6.0,3.0,6.0,4.0,8.0,6.0,31.0,21.0,68.0,609.0,,,,,,,,,,,,,,,0.0,0.0
Aaron Phillips,2020-07-15,MALE,30.0,Southpaw,175.26,177.8,135.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,6.0,0.0,0.0,0.0,47.0,1.87,0.59,84.0,50.0,0.58,0.5,0.0,0.0,8.5,5.5,0.64,0.5,0.5,0.5,0.5,31.0,14.0,69.0,39.5,13.0,12.0,12.0,8.0,3.0,2.0,3.0,2.5,25.5,11.5,23.0,9.0,12.0,10.0,17.0,12.5,9.5,6.5,44.0,28.5,34.0,692.0,,,,,,,,,,,,,,,0.0,0.0
Aaron Riley,2010-05-29,MALE,29.0,Southpaw,172.72,175.26,155.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,613.25,13.0,0.0,0.0,0.16,86.78,38.5,0.38,100.25,44.28,0.43,2.53,0.83,0.32,1.75,0.25,0.04,0.17,0.0,0.0,0.0,66.44,14.56,81.25,27.66,13.59,10.12,15.47,14.03,6.75,3.94,3.53,2.59,61.44,13.81,71.0,25.12,21.31,11.78,28.06,18.5,4.03,3.03,1.19,0.66,141.41,36.66,,,,,,,,,,,,,,,2.0,0.0
Aaron Riley,2011-09-24,MALE,30.0,Southpaw,172.72,175.26,155.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,756.62,16.0,0.0,0.0,0.08,95.39,39.57,0.39,103.62,40.64,0.39,5.27,1.14,0.32,1.88,0.62,0.27,0.14,0.0,0.0,0.0,67.22,15.78,77.12,23.83,14.3,10.56,18.23,14.02,13.88,10.97,8.27,2.8,71.22,20.41,80.0,27.06,20.16,13.89,23.03,13.25,4.02,3.02,0.59,0.33,223.7,34.83,,,,,,,,,,,,,,,3.0,0.0
Aaron Riley,2013-07-27,MALE,32.0,Southpaw,172.72,175.26,155.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,528.31,17.0,0.0,0.0,0.04,72.2,36.0,0.37,92.81,35.82,0.38,2.63,1.0,0.28,0.94,0.31,0.13,0.12,0.0,0.0,0.0,51.11,9.39,72.06,22.91,10.65,7.28,13.12,10.01,10.44,7.48,7.63,2.9,60.11,15.7,79.5,28.03,10.08,6.95,13.02,7.62,2.01,1.51,0.3,0.16,111.85,18.41,,,,,,,,,,,,,,,3.0,0.0
Aaron Rosa,2011-06-11,MALE,28.0,Orthodox,193.04,198.12,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Aaron Rosa,2011-11-12,MALE,28.0,Orthodox,193.04,198.12,205.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,3.0,0.0,0.0,0.0,179.0,73.0,0.4,188.0,88.0,0.46,1.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,0.0,158.0,56.0,146.0,53.0,16.0,13.0,19.0,16.0,5.0,4.0,23.0,19.0,160.0,62.0,154.0,59.0,19.0,11.0,27.0,22.0,0.0,0.0,7.0,7.0,8.0,320.0,,,,,,,,,,,,,,,0.0,0.0
Aaron Rosa,2012-03-02,MALE,28.0,Orthodox,193.04,198.12,205.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,793.0,6.0,0.0,0.0,0.0,139.0,66.0,0.5,113.5,53.5,0.47,0.5,0.0,0.0,7.0,1.0,0.18,0.0,0.0,0.0,0.0,110.5,40.5,92.5,36.0,23.5,21.0,9.5,8.0,5.0,4.5,11.5,9.5,107.5,40.0,94.0,36.5,31.5,26.0,15.5,13.0,0.0,0.0,4.0,4.0,30.0,366.0,,,,,,,,,,,,,,,1.0,0.0
Aaron Simpson,2010-06-19,MALE,35.0,Orthodox,182.88,185.42,170.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,554.25,6.0,0.0,0.5,0.0,73.25,25.67,0.47,73.0,28.0,0.32,4.0,2.0,0.78,3.0,0.5,0.08,0.0,1.0,0.0,0.0,59.25,19.0,71.25,26.5,11.5,7.25,1.75,1.5,2.5,2.0,0.0,0.0,39.25,9.75,43.25,12.0,19.75,10.75,29.0,15.75,14.25,7.75,0.75,0.25,197.0,78.5,,,,,,,,,,,,,,,1.0,2.0
Aaron Simpson,2010-11-20,MALE,36.0,Orthodox,182.88,185.42,170.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,555.62,8.0,0.0,0.25,0.0,75.62,30.0,0.49,82.5,35.0,0.38,7.0,2.0,0.63,1.5,0.25,0.04,0.25,0.5,0.0,0.0,59.12,23.5,72.62,28.75,12.25,8.12,3.38,1.75,4.25,4.0,6.5,4.5,44.62,14.38,52.62,16.5,20.88,15.38,27.5,16.38,10.12,5.88,2.38,2.12,210.5,61.25,,,,,,,,,,,,,,,1.0,2.0
Aaron Simpson,2011-03-26,MALE,36.0,Orthodox,182.88,185.42,170.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,727.81,11.0,0.0,0.12,0.0,96.81,32.6,0.47,119.25,55.5,0.43,9.0,2.6,0.6,2.75,0.62,0.14,0.2,0.25,0.0,0.5,74.56,22.25,88.31,31.88,18.12,13.06,13.19,10.38,4.12,4.0,17.75,13.25,64.81,20.69,64.81,22.75,25.44,14.69,50.75,29.69,6.56,3.94,3.69,3.06,202.25,119.12,,,,,,,,,,,,,,,1.0,2.0
Aaron Simpson,2011-07-02,MALE,36.0,Orthodox,182.88,185.42,170.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,813.91,14.0,0.0,0.06,0.0,85.91,37.0,0.52,67.12,34.75,0.68,17.5,3.83,0.56,2.38,0.31,0.07,0.17,0.12,0.0,0.25,51.28,17.12,47.66,18.94,11.06,8.53,8.59,7.19,23.56,23.5,10.88,8.62,38.41,11.84,34.41,12.88,30.72,25.34,30.88,20.34,16.78,11.97,1.84,1.53,481.62,94.06,,,,,,,,,,,,,,,2.0,2.0
Aaron Simpson,2011-10-08,MALE,37.0,Orthodox,182.88,185.42,170.0,2.0,0.0,3.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,856.95,17.0,0.0,0.03,0.0,75.95,37.86,0.54,50.06,23.88,0.54,16.25,3.57,0.5,3.19,0.66,0.16,0.43,0.06,0.0,0.12,40.64,15.06,35.83,11.97,9.53,7.77,7.3,6.09,25.78,23.25,6.94,5.81,29.7,9.92,30.2,10.94,36.36,28.67,18.94,12.17,9.89,7.48,0.92,0.77,570.31,76.03,,,,,,,,,,,,,,,3.0,2.0
Aaron Simpson,2012-02-15,MALE,37.0,Orthodox,182.88,185.42,170.0,3.0,0.0,3.0,2.0,0.0,6.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,878.48,20.0,0.0,1.02,0.0,107.98,40.38,0.52,76.03,18.94,0.33,8.12,3.12,0.44,1.59,0.33,0.08,0.38,0.03,0.0,0.06,74.82,28.03,67.91,12.48,20.27,12.38,4.65,3.55,12.89,11.62,3.47,2.91,70.35,26.46,63.6,10.97,30.18,20.84,11.97,7.59,7.45,4.74,0.46,0.38,300.16,38.02,,,,,,,,,,,,,,,4.0,2.0
