r_fighter,b_fighter,date,location,referee,winner,finish,finishdetails,finishround,finishroundtime,titlebout,weightclass,gender,numberofrounds,emptyarena,totalfighttimesecs,betterrank,agedif,avgsubattdif,avgtddif,heightdif,kodif,longestwinstreakdif,losestreakdif,lossdif,reachdif,sigstrdif,subdif,totalrounddif,totaltitleboutdif,windif,winstreakdif,b_odds,b_decodds,b_subodds,b_koodds,b_expectedvalue,r_odds,r_decodds,r_subodds,r_koodds,r_expectedvalue
Alessio Sakara,James Irvin,2010-03-21,"Broomfield, Colorado, USA",Josh Rosenthal,Red,KO/TKO,,1.0,3:01,False,Middleweight,MALE,3.0,0.0,181.0,neither,-3.0,0.12,-1.0,5.08,0.0,0.0,-1.0,1.0,7.62,-15.55,0.0,-5.0,0.0,-1.0,-2.0,100.0,,,,100.0,-120.0,,,,83.33
Brandon Vera,Jon Jones,2010-03-21,"Broomfield, Colorado, USA",Herb Dean,Blue,KO/TKO,Elbow,1.0,3:19,False,Light Heavyweight,MALE,3.0,0.0,199.0,neither,10.0,0.16,1.95,2.54,-4.0,-1.0,0.0,3.0,20.32,8.27,0.0,-14.0,0.0,-4.0,0.0,-235.0,,,,42.55,215.0,,,,215.0
Brendan Schaub,Chase Gormley,2010-03-21,"Broomfield, Colorado, USA",Adam Martinez,Red,KO/TKO,Punches,1.0,0:47,False,Heavyweight,MALE,3.0,0.0,47.0,neither,0.0,1.0,1.0,-2.54,0.0,0.0,0.0,0.0,-2.12,-4.0,0.0,0.0,-1.0,0.0,0.0,220.0,,,,220.0,-260.0,,,,38.46
Cheick Kongo,Paul Buentello,2010-03-21,"Broomfield, Colorado, USA",Herb Dean,Red,KO/TKO,Elbows,3.0,1:16,False,Heavyweight,MALE,3.0,0.0,676.0,neither,-2.0,0.13,-0.98,-5.08,-3.0,-1.0,1.0,2.0,-12.7,-7.11,1.0,-14.0,1.0,-4.0,0.0,315.0,,,,315.0,-345.0,,,,28.99
Clay Guida,Shannon Gugerty,2010-03-21,"Broomfield, Colorado, USA",Herb Dean,Red,SUB,Arm Triangle,2.0,3:40,False,Lightweight,MALE,3.0,0.0,520.0,neither,0.0,0.65,-2.15,7.62,-1.0,-2.0,1.0,3.0,2.54,-22.35,1.0,-19.0,0.0,-3.0,0.0,335.0,,,,335.0,-420.0,,,,23.81
Duane Ludwig,Darren Elkins,2010-03-21,"Broomfield, Colorado, USA",Tim Mills,Blue,KO/TKO,,1.0,0:44,False,Lightweight,MALE,3.0,0.0,44.0,neither,6.0,0.0,0.0,0.0,-1.0,-2.0,1.0,1.0,2.54,-13.67,0.0,-5.0,0.0,-2.0,0.0,135.0,,,,135.0,-155.0,,,,64.52
Eliot Marshall,Vladimir Matyushenko,2010-03-21,"Broomfield, Colorado, USA",Adam Martinez,Blue,S-DEC,,3.0,5:00,False,Light Heavyweight,MALE,3.0,0.0,900.0,neither,-10.0,-0.5,2.17,-5.08,1.0,-1.0,0.0,-2.0,-7.62,-4.83,-1.0,9.0,1.0,1.0,-2.0,-165.0,,,,60.61,145.0,,,,145.0
Eric Schafer,Jason Brilz,2010-03-21,"Broomfield, Colorado, USA",Tom Johnson,Blue,U-DEC,,3.0,5:00,False,Light Heavyweight,MALE,3.0,0.0,900.0,neither,-2.0,-0.67,0.83,-10.16,0.0,0.0,0.0,2.0,-10.16,16.0,-2.0,-1.0,0.0,-1.0,0.0,-160.0,,,,62.5,140.0,,,,140.0
John Howard,Daniel Roberts,2010-03-21,"Broomfield, Colorado, USA",Tom Johnson,Red,KO/TKO,Punch,1.0,2:01,False,Welterweight,MALE,3.0,0.0,121.0,neither,-2.0,-1.0,-4.67,7.62,-1.0,-3.0,0.0,0.0,7.62,-18.0,0.0,-9.0,0.0,-3.0,-3.0,175.0,,,,175.0,-210.0,,,,47.62
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,"Broomfield, Colorado, USA",Josh Rosenthal,Red,KO/TKO,Punches,1.0,3:53,False,Heavyweight,MALE,3.0,0.0,233.0,neither,-4.0,0.7,1.2,-5.08,1.0,0.0,0.0,-3.0,-2.54,-12.05,2.0,10.0,1.0,3.0,-3.0,230.0,,,,230.0,-250.0,,,,40.0
