"finish_type","weightclass","num_fights","avg_avgkd","avg_avgsigstrlanded","avg_avgsigstratt","avg_avgtdlanded","avg_avgtdatt","avg_avgctrltime","avg_avgsubatt"
"Decision","Bantamweight","452","0.189","32.3","77.7","1.18","2.83","118.3","0.344"
"Decision","Catch Weight","28","0.099","45.7","97.4","1.35","3.12","141.9","0.407"
"Decision","Featherweight","574","0.181","33.2","79.6","1.10","2.94","124.2","0.370"
"Decision","Flyweight","250","0.203","33.0","78.2","1.39","3.59","149.2","0.389"
"Decision","Heavyweight","212","0.243","29.2","61.3","0.59","1.46","87.7","0.165"
"Decision","Light Heavyweight","274","0.236","31.3","68.3","1.04","2.69","125.5","0.251"
"Decision","Lightweight","822","0.196","32.0","76.6","1.06","2.78","119.5","0.371"
"Decision","Middleweight","472","0.219","28.7","64.3","0.97","2.62","123.3","0.320"
"Decision","Welterweight","784","0.237","32.5","74.4","1.16","2.91","142.3","0.379"
"Decision","Women's Bantamweight","176","0.057","38.3","88.6","0.74","2.07","141.9","0.327"
"Decision","Women's Featherweight","8","0.174","26.5","72.1","0.65","1.39","129.5","0.159"
"Decision","Women's Flyweight","128","0.074","46.0","112.7","0.90","2.15","139.4","0.360"
"Decision","Women's Strawweight","226","0.056","44.5","101.5","0.95","2.61","130.0","0.406"
"KO/TKO","Bantamweight","260","0.304","34.7","82.5","0.77","1.97","83.1","0.297"
"KO/TKO","Catch Weight","16","0.268","25.8","62.8","0.72","1.47","65.5","0.304"
"KO/TKO","Featherweight","288","0.255","35.7","83.8","0.98","2.48","116.6","0.477"
"KO/TKO","Flyweight","98","0.266","29.6","76.7","1.19","3.25","121.0","0.483"
"KO/TKO","Heavyweight","382","0.278","27.4","55.4","0.70","1.66","96.6","0.176"
"KO/TKO","Light Heavyweight","324","0.261","27.5","59.7","0.73","1.97","100.8","0.251"
"KO/TKO","Lightweight","448","0.207","32.9","75.3","0.94","2.42","107.5","0.363"
"KO/TKO","Middleweight","406","0.280","28.5","62.6","0.80","2.17","110.7","0.278"
"KO/TKO","Welterweight","490","0.311","32.0","73.0","0.96","2.31","121.5","0.337"
"KO/TKO","Women's Bantamweight","76","0.091","29.0","66.4","0.68","1.75","118.9","0.299"
"KO/TKO","Women's Featherweight","6","0.000","17.1","33.5","0.75","2.02","113.1","0.187"
"KO/TKO","Women's Flyweight","36","0.076","37.9","93.6","0.71","1.81","123.4","0.427"
"KO/TKO","Women's Strawweight","36","0.085","50.7","108.3","1.21","2.45","130.2","0.313"
"Other","Bantamweight","32","0.175","26.4","62.6","0.77","2.10","89.1","0.355"
"Other","Catch Weight","8","0.145","23.4","56.8","0.37","1.35","36.0","0.072"
"Other","Featherweight","56","0.063","21.9","53.2","0.72","2.25","92.8","0.205"
"Other","Flyweight","44","0.219","24.4","59.1","1.26","2.58","112.8","0.639"
"Other","Heavyweight","56","0.196","22.7","51.1","0.39","1.10","92.1","0.224"
"Other","Light Heavyweight","28","0.331","28.7","63.5","0.79","1.59","104.6","0.196"
"Other","Lightweight","54","0.163","16.5","40.3","0.69","1.90","73.6","0.332"
"Other","Middleweight","64","0.160","31.2","71.4","0.74","1.91","114.7","0.277"
"Other","Welterweight","112","0.226","26.1","61.7","0.75","1.74","88.4","0.177"
"Other","Women's Bantamweight","6","0.020","35.8","78.3","0.46","1.38","99.0","0.437"
"Other","Women's Featherweight","10","0.246","46.4","86.1","0.58","1.26","93.1","0.114"
"Other","Women's Flyweight","8","0.015","33.5","88.5","0.63","1.34","108.7","0.147"
"Other","Women's Strawweight","44","0.006","41.7","95.0","0.51","1.76","88.3","0.170"
"Submission","Bantamweight","206","0.170","28.1","65.3","0.94","2.29","113.4","0.603"
"Submission","Catch Weight","14","0.172","32.2","75.9","0.48","1.22","76.7","0.609"
"Submission","Featherweight","182","0.134","30.1","69.8","1.02","2.72","125.8","0.436"
"Submission","Flyweight","70","0.195","29.8","65.1","1.59","3.47","161.6","0.790"
"Submission","Heavyweight","94","0.207","24.3","49.1","0.46","1.28","92.1","0.226"
"Submission","Light Heavyweight","134","0.272","26.2","54.1","0.79","2.29","105.2","0.277"
"Submission","Lightweight","350","0.155","27.2","64.9","1.10","2.91","129.3","0.480"
"Submission","Middleweight","202","0.190","25.4","56.1","0.99","2.50","126.6","0.417"
"Submission","Welterweight","250","0.235","28.3","64.2","0.96","2.50","127.4","0.443"
"Submission","Women's Bantamweight","42","0.087","34.9","76.8","1.10","2.46","170.2","0.590"
"Submission","Women's Featherweight","8","0.094","15.2","30.0","0.67","0.95","73.7","0.157"
"Submission","Women's Flyweight","48","0.051","32.2","76.3","0.51","1.07","83.5","0.519"
"Submission","Women's Strawweight","74","0.050","34.5","74.5","0.95","2.06","121.8","0.449"
