"city","country","total_fights","num_upsets","pct_upsets"
"Porto Alegre","Brazil","11","10","90.91"
"Natal","Brazil","10","9","90.00"
"Sioux Falls","USA","12","9","75.00"
"Portland","USA","12","8","66.67"
"East Rutherford","USA","12","8","66.67"
"Cincinnati","USA","13","8","61.54"
"Saskatoon","Canada","12","7","58.33"
"Liverpool","United Kingdom","11","6","54.55"
"Seoul","South Korea","11","6","54.55"
"Copenhagen","Denmark","13","7","53.85"
"Uniondale","USA","13","7","53.85"
"Brisbane","Australia","22","11","50.00"
"Krakow","Poland","12","6","50.00"
"Austin","USA","34","16","47.06"
"Rochester","USA","13","6","46.15"
"Orlando","USA","37","17","45.95"
"Adelaide","Australia","24","11","45.83"
"St. Louis","USA","11","5","45.45"
"Oakland","USA","11","5","45.45"
"Belem","Brazil","11","5","45.45"
"Curitiba","Brazil","11","5","45.45"
"Toronto","Canada","74","33","44.59"
"Sydney","Australia","45","20","44.44"
"Ledyard","USA","9","4","44.44"
"New York City","USA","44","19","43.18"
"Brasilia","Brazil","35","15","42.86"
"Tulsa","USA","21","9","42.86"
"Beijing","China","12","5","41.67"
"Manila","Philippines","12","5","41.67"
"Buenos Aires","Argentina","12","5","41.67"
"Winnipeg","Canada","22","9","40.91"
"Boston","USA","71","29","40.85"
"Anaheim","USA","55","22","40.00"
"Vancouver","Canada","55","22","40.00"
"Norfolk","USA","25","10","40.00"
"Oberhausen","Germany","10","4","40.00"
"Uberlandia","Brazil","10","4","40.00"
"Singapore","Singapore","10","4","40.00"
"Milwaukee","USA","36","14","38.89"
"Mexico City","Mexico","57","22","38.60"
"Lincoln","USA","13","5","38.46"
"Wichita","USA","13","5","38.46"
"Boise","USA","13","5","38.46"
"Fresno","USA","13","5","38.46"
"Buffalo","USA","13","5","38.46"
"Kansas City","USA","13","5","38.46"
"Monterrey","Mexico","13","5","38.46"
"Moncton","Canada","13","5","38.46"
"Brooklyn","USA","32","12","37.50"
"New Orleans","USA","24","9","37.50"
"Philadelphia","USA","24","9","37.50"
"Atlanta","USA","35","13","37.14"
"Edmonton","Canada","22","8","36.36"
"Barueri","Brazil","22","8","36.36"
"Goiania","Brazil","22","8","36.36"
"Nottingham","United Kingdom","11","4","36.36"
"Auburn Hills","USA","11","4","36.36"
"Shenzhen","China","11","4","36.36"
"Greenville","USA","11","4","36.36"
"Hidalgo","USA","11","4","36.36"
"Oklahoma City","USA","11","4","36.36"
"Saitama","Japan","53","19","35.85"
"London","United Kingdom","74","26","35.14"
"Sacramento","USA","43","15","34.88"
"Hamburg","Germany","23","8","34.78"
"Los Angeles","USA","55","19","34.55"
"Stockholm","Sweden","82","28","34.15"
"Las Vegas","USA","1037","353","34.04"
"Shanghai","China","12","4","33.33"
"Fort Campbell","USA","12","4","33.33"
"Macau","China","37","12","32.43"
"Belfast","United Kingdom","25","8","32.00"
"Sunrise","USA","25","8","32.00"
"Moscow","Russia","25","8","32.00"
"Calgary","Canada","22","7","31.82"
"Manchester","United Kingdom","22","7","31.82"
"Abu Dhabi","United Arab Emirates","170","54","31.76"
"Houston","USA","57","18","31.58"
"Chicago","USA","80","25","31.25"
"Melbourne","Australia","48","15","31.25"
"Busan","South Korea","13","4","30.77"
"Montevideo","Uruguay","13","4","30.77"
"Rio Rancho","USA","13","4","30.77"
"Phoenix","USA","36","11","30.56"
"Charlotte","USA","23","7","30.43"
"Newark","USA","79","24","30.38"
"Bangor","USA","10","3","30.00"
"Baltimore","USA","10","3","30.00"
"Atlantic City","USA","34","10","29.41"
"Sao Paulo","Brazil","112","32","28.57"
"Dallas","USA","49","14","28.57"
"Fortaleza","Brazil","35","10","28.57"
"Jacksonville","USA","28","8","28.57"
"Glendale","USA","14","4","28.57"
"Montreal","Canada","57","16","28.07"
"Tampa","USA","25","7","28.00"
"Berlin","Germany","25","7","28.00"
"Pittsburgh","USA","33","9","27.27"
"Fairfax","USA","22","6","27.27"
"San Diego","USA","22","6","27.27"
"Indianapolis","USA","22","6","27.27"
"Gdansk","Poland","11","3","27.27"
"Killeen","USA","11","3","27.27"
"Saint Petersburg","Russia","11","3","27.27"
"Louisville","USA","11","3","27.27"
"Nashville","USA","48","13","27.08"
"San Antonio","USA","41","11","26.83"
"Halifax","Canada","34","9","26.47"
"Dublin","Ireland","19","5","26.32"
"Washington","USA","19","5","26.32"
"Kallang","Singapore","35","9","25.71"
"Rio de Janeiro","Brazil","116","29","25.00"
"Perth","Australia","12","3","25.00"
"Raleigh","USA","12","3","25.00"
"Duluth","USA","12","3","25.00"
"Auckland","New Zealand","37","9","24.32"
"Jaragua do Sul","Brazil","25","6","24.00"
"Ottawa","Canada","25","6","24.00"
"Broomfield","USA","21","5","23.81"
"Belo Horizonte","Brazil","21","5","23.81"
"Santiago","Chile","13","3","23.08"
"Zagreb","Croatia","13","3","23.08"
"Detroit","USA","13","3","23.08"
"Prague","Czech Republic","13","3","23.08"
"Quebec City","Canada","13","3","23.08"
"Hollywood","USA","9","2","22.22"
"Omaha","USA","9","2","22.22"
"Glasgow","United Kingdom","24","5","20.83"
"Birmingham","United Kingdom","10","2","20.00"
"San Jose","USA","46","9","19.57"
"Denver","USA","43","8","18.60"
"Minneapolis","USA","22","4","18.18"
"Albuquerque","USA","11","2","18.18"
"Seattle","USA","35","6","17.14"
"Utica","USA","12","2","16.67"
"Rotterdam","Netherlands","25","3","12.00"
"Gold Coast","Australia","9","1","11.11"
"Cleveland","USA","10","1","10.00"
"Salt Lake City","USA","12","1","8.33"
"Albany","USA","12","0","0.00"
