"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Alexander Volkanovski","9","9","1.00","0.600","32","2.07","101","245.8","89","0.42","127","1"
"Kamaru Usman","14","14","1.00","0.545","93","3.92","11","500.6","4","0.32","208","2"
"Edmen Shahbazyan","5","4","0.80","0.557","79","3.15","31","229.6","105","0.37","145","3"
"Georges St-Pierre","7","7","1.00","0.512","159","6.48","2","647.3","1","0.25","275","4"
"Matheus Nicolau","5","4","0.80","0.539","98","1.57","165","195.3","153","1.20","2","5"
"Tatiana Suarez","5","5","1.00","0.739","2","3.03","36","290.7","45","0.00","552","6"
"Deiveson Figueiredo","9","8","0.89","0.555","80","1.29","242","166.6","213","0.85","9","7"
"Raoni Barcelos","5","5","1.00","0.527","119","1.67","144","161.0","233","0.53","76","8"
"Jon Jones","17","17","1.00","0.569","69","1.73","137","222.0","116","0.24","285","9"
"Demetrious Johnson","17","15","0.88","0.534","109","4.32","7","314.0","31","0.17","387","10"
"Gregor Gillespie","7","6","0.86","0.504","189","3.24","26","349.0","21","0.27","250","11"
"Cain Velasquez","9","6","0.67","0.548","90","2.48","57","292.3","43","0.72","22","12"
"Islam Makhachev","9","8","0.89","0.599","35","2.07","102","230.2","104","0.16","401","13"
"Khabib Nurmagomedov","13","13","1.00","0.484","238","4.35","6","414.8","7","0.23","301","14"
"Zabit Magomedsharipov","6","6","1.00","0.569","66","3.77","12","247.6","85","0.00","552","15"
"Stipe Miocic","18","15","0.83","0.516","147","1.59","162","187.6","168","0.30","221","16"
"Amanda Nunes","15","14","0.93","0.525","124","1.46","196","158.9","242","0.32","209","17"
"Trevin Giles","7","5","0.71","0.611","21","1.60","157","169.3","205","0.28","243","18"
"Curtis Blaydes","12","9","0.75","0.527","123","4.11","8","300.2","40","0.08","515","19"
"Bryce Mitchell","5","5","1.00","0.567","70","1.57","166","197.2","151","0.00","552","20"
"Valentina Shevchenko","11","9","0.82","0.530","115","2.24","81","253.6","76","0.08","521","21"
"Magomed Ankalaev","7","6","0.86","0.573","61","0.26","616","202.1","139","0.54","73","22"
"Justin Willis","5","4","0.80","0.591","41","1.27","244","103.9","392","0.33","190","23"
"Erik Perez","9","7","0.78","0.509","168","1.56","169","165.5","216","0.32","196","24"
"Grant Dawson","5","5","1.00","0.469","291","3.27","23","368.3","16","0.00","552","25"
"TJ Grant","8","6","0.75","0.538","99","1.43","201","201.7","140","0.19","359","26"
"Macy Chiasson","6","5","0.83","0.532","111","0.25","618","226.0","109","0.48","91","27"
"Yoel Romero","13","9","0.69","0.564","72","1.49","188","105.6","386","0.75","16","28"
"Leon Edwards","12","10","0.83","0.496","209","1.05","298","204.5","137","0.28","237","29"
"Daniel Cormier","14","11","0.79","0.534","108","1.33","227","258.8","73","0.13","448","30"
"Montel Jackson","6","4","0.67","0.552","85","2.63","47","177.7","187","0.21","329","31"
"Kyoji Horiguchi","9","8","0.89","0.466","308","1.33","228","146.4","272","0.55","67","32"
"Brett Johns","8","6","0.75","0.506","182","3.55","18","307.1","38","0.00","552","33"
"Elias Silverio","6","4","0.67","0.543","96","1.44","198","271.2","63","0.23","302","34"
"Aleksandar Rakic","7","6","0.86","0.505","186","0.52","491","184.4","173","0.47","96","35"
"Claudio Silva","6","5","0.83","0.505","188","2.04","104","238.9","92","0.00","552","36"
"Dong Hyun Kim","15","10","0.67","0.477","262","2.06","103","338.5","23","0.35","178","37"
"Dustin Poirier","24","19","0.79","0.503","191","0.98","322","164.3","222","0.44","114","38"
"Colby Covington","14","12","0.86","0.460","335","4.01","9","367.4","17","0.07","531","39"
"Petr Yan","8","7","0.88","0.509","171","0.96","330","69.8","525","1.06","6","40"
"Scott Holtzman","11","7","0.64","0.509","170","1.90","117","271.2","62","0.33","187","41"
"Alex Perez","8","6","0.75","0.502","196","1.54","176","169.2","207","0.24","284","42"
